,state,action_space,reward,Q,action
1054,"[3, 2]",r,1,0.19836941046095402,2
1055,"[0, 0]",r,0,1.5320212614552503e-07,2
1056,"[1, 0]",r,0,3.6524603346006735e-06,2
1057,"[2, 0]",d,0,8.927148612064526e-05,1
1058,"[2, 1]",d,0,0.0017792809000720948,1
1059,"[2, 2]",r,0,0.022891036582633188,2
1060,"[3, 2]",u,-1,-0.0490099501,0
1061,"[0, 0]",r,0,1.8454224789547586e-07,2
1062,"[1, 0]",r,0,4.419379106340474e-06,2
1063,"[2, 0]",d,0,0.00010439229936008766,1
1064,"[2, 1]",d,0,0.0019675074203150725,1
1065,"[2, 2]",r,0,0.024447450910955442,2
1066,"[3, 2]",u,-1,-0.058519850599,0
1067,"[0, 0]",r,0,2.2247123737358536e-07,2
1068,"[1, 0]",r,0,5.314716009517858e-06,2
1069,"[2, 0]",d,0,0.00012105594314932243,1
1070,"[2, 1]",d,0,0.0021678594043105207,1
1071,"[2, 2]",r,0,0.025988301095994475,2
1072,"[3, 2]",r,1,0.20638571635634448,2
1073,"[0, 0]",r,0,2.680789690855102e-07,2
1074,"[1, 0]",r,0,6.351072337766582e-06,2
1075,"[2, 0]",d,0,0.0001393561183566239,1
1076,"[2, 1]",d,0,0.0023800755201313657,1
1077,"[2, 2]",r,0,0.02758588953224163,2
1078,"[3, 2]",r,1,0.21432185919278104,2
1079,"[0, 0]",r,0,3.2255783043455433e-07,2
1080,"[1, 0]",r,0,7.5417666795985316e-06,2
1081,"[2, 0]",d,0,0.00015938323685423997,1
1082,"[2, 1]",d,0,0.002604547770720227,1
1083,"[2, 2]",r,0,0.029238927369654246,2
1084,"[3, 2]",r,1,0.22217864060085324,2
1085,"[0, 0]",r,0,3.872081522465956e-07,2
1086,"[1, 0]",u,0,6.928000377238589e-08,0
1087,"[1, 0]",r,0,8.900798144490706e-06,2
1088,"[2, 0]",d,0,0.00018123033442217962,1
1089,"[2, 1]",d,0,0.0028416526393399127,1
1090,"[2, 2]",r,0,0.030946145861365383,2
1091,"[3, 2]",r,1,0.2299568541948447,2
1092,"[0, 0]",r,0,4.6344325402454603e-07,2
1093,"[1, 0]",r,0,1.0442863172845416e-05,2
1094,"[2, 0]",d,0,0.00020499290483201704,1
1095,"[2, 1]",d,0,0.003091751425698802,1
1096,"[2, 2]",r,0,0.032706296090505335,2
1097,"[3, 2]",r,1,0.23765728565289626,2
1098,"[0, 0]",r,0,5.527945900399093e-07,2
1099,"[1, 0]",r,0,1.2183370684605115e-05,2
1100,"[2, 0]",d,0,0.00023076873861498608,1
1101,"[2, 1]",d,0,0.003355190576256362,1
1102,"[2, 2]",r,0,0.03451814870047635,2
1103,"[3, 2]",r,1,0.2452807127963673,2
1104,"[0, 0]",r,0,6.569169803009563e-07,2
1105,"[1, 0]",d,0,1.8438060680610086e-07,1
1106,"[1, 1]",r,0,4.6751070045151476e-05,2
1107,"[2, 1]",d,0,0.0036323020087980855,1
1108,"[2, 2]",r,0,0.03638049362863889,2
1109,"[3, 2]",l,0,0.00032742444265775,3
1110,"[2, 2]",r,0,0.038224215107519804,2
1111,"[3, 2]",r,1,0.25282790566840363,2
1112,"[0, 0]",r,0,7.599981466593928e-07,2
1113,"[1, 0]",r,0,1.4138455625293939e-05,2
1114,"[2, 0]",u,0,2.076918647534875e-06,0
1115,"[2, 0]",d,0,0.000261151769308019,1
1116,"[2, 1]",d,0,0.0039399969246777826,1
1117,"[2, 2]",r,0,0.04011742410746024,2
1118,"[3, 2]",r,1,0.26029962661171957,2
1119,"[0, 0]",r,0,8.796442658204443e-07,2
1120,"[1, 0]",r,0,1.634743699281317e-05,2
1121,"[2, 0]",d,0,0.0002940002239370388,1
1122,"[2, 1]",d,0,0.004261653772398147,1
1123,"[2, 2]",r,0,0.042058946505891114,2
1124,"[3, 2]",r,1,0.26769663034560237,2
1125,"[0, 0]",r,0,1.0179747560975584e-06,2
1126,"[1, 0]",r,0,1.8829964638318387e-05,2
1127,"[2, 0]",d,0,0.0003294151056492518,1
1128,"[2, 1]",d,0,0.004597567753227186,1
1129,"[2, 2]",r,0,0.04404762671394263,2
1130,"[3, 2]",r,1,0.27501966404214634,2
1131,"[0, 0]",r,0,1.1772646902814485e-06,2
1132,"[1, 0]",r,0,2.160640094277847e-05,2
1133,"[2, 0]",d,0,0.0003674990643718039,1
