,state,action_space,reward,Q,action
730,"[1, 1]",r,0,0.0031560280509527927,2
731,"[2, 1]",d,0,0.02175853351161458,1
732,"[2, 2]",r,0,0.11822112824785319,2
733,"[3, 2]",l,0,0.003120670351870986,3
734,"[2, 2]",r,0,0.12101452171844389,2
735,"[3, 2]",r,1,0.4473165228376147,2
736,"[0, 0]",d,0,4.036568159663024e-05,1
737,"[0, 1]",r,0,0.00040700798817403915,2
738,"[1, 1]",r,0,0.003320294572047796,2
739,"[2, 1]",d,0,0.02263007887196443,1
740,"[2, 2]",r,0,0.12383022520679798,2
741,"[3, 2]",d,0,2.895895468029732e-05,1
742,"[3, 3]",u,0,0.007123124720371236,0
743,"[3, 2]",r,1,0.45284335760923855,2
744,"[0, 0]",d,0,4.362509667423029e-05,1
745,"[0, 1]",r,0,0.0004328205594407289,2
746,"[1, 1]",r,0,0.0034907623361749977,2
747,"[2, 1]",d,0,0.023518250110105967,1
748,"[2, 2]",r,0,0.12666751317321315,2
749,"[3, 2]",r,1,0.45831492403314616,2
750,"[0, 0]",d,0,4.708423074245455e-05,1
751,"[0, 1]",r,0,0.00045990921487189663,2
752,"[1, 1]",r,0,0.003667518963804201,2
753,"[2, 1]",d,0,0.024423075227563824,1
754,"[2, 2]",r,0,0.12952567235777934,2
755,"[3, 2]",r,1,0.4637317747928147,2
756,"[0, 0]",d,0,5.075257136887707e-05,1
757,"[0, 1]",r,0,0.0004883177933974155,2
758,"[1, 1]",r,0,0.0038506514512142336,2
759,"[2, 1]",d,0,0.0253445755265082,1
760,"[2, 2]",r,0,0.13240400160733687,2
761,"[3, 2]",r,1,0.46909445704488656,2
762,"[0, 0]",d,0,5.463990579576504e-05,1
763,"[0, 1]",r,0,0.0005180904785243695,2
764,"[1, 1]",r,0,0.004040246116440665,2
765,"[2, 1]",d,0,0.02628276578570915,1
766,"[2, 2]",r,0,0.13530181170466749,2
767,"[3, 2]",r,1,0.4744035124744377,2
768,"[0, 0]",d,0,5.875632104452671e-05,1
769,"[0, 1]",r,0,0.0005492717887870918,2
770,"[1, 1]",r,0,0.004236388547347641,2
771,"[2, 1]",d,0,0.027237654433194067,1
772,"[2, 2]",r,0,0.13821842519989075,2
773,"[3, 2]",r,1,0.47965947734969333,2
774,"[0, 0]",d,0,6.311220393316526e-05,1
775,"[0, 1]",r,0,0.0005819065678253497,2
776,"[1, 1]",r,0,0.0044391635517729115,2
777,"[2, 1]",d,0,0.028209243715661143,1
778,"[2, 2]",r,0,0.14115317624403909,2
779,"[3, 2]",r,1,0.4848628825761964,2
780,"[0, 0]",d,0,6.771824100426176e-05,1
781,"[0, 1]",r,0,0.0006160399741130523,2
782,"[1, 1]",r,0,0.004648655109696133,2
783,"[2, 1]",d,0,0.029197529864700884,1
784,"[2, 2]",r,0,0.14410541042478447,2
785,"[3, 2]",r,1,0.49001425375043445,2
786,"[0, 0]",d,0,7.258541836123661e-05,1
787,"[0, 1]",r,0,0.000651717470359187,2
788,"[1, 1]",r,0,0.00486494632738148,2
789,"[2, 1]",d,0,0.030202503259876935,1
790,"[2, 2]",r,0,0.14707448460429054,2
791,"[3, 2]",r,1,0.4951141112129301,2
792,"[0, 0]",d,0,7.772502141085693e-05,1
793,"[0, 1]",r,0,0.0006889848126020285,2
794,"[1, 1]",r,0,0.005088119393446558,2
795,"[2, 1]",d,0,0.03122414858871678,1
796,"[2, 2]",r,0,0.150059766759164,2
797,"[3, 2]",r,1,0.5001629701008008,2
798,"[0, 0]",d,0,8.314863451016661e-05,1
799,"[0, 1]",r,0,0.0007278880390170272,2
800,"[1, 1]",r,0,0.005318255536810543,2
801,"[2, 1]",d,0,0.032262445003662085,1
802,"[2, 2]",r,0,0.15306063582247956,2
803,"[3, 2]",r,1,0.5051613403997928,2
804,"[0, 0]",d,0,8.88681405162182e-05,1
805,"[0, 1]",r,0,0.0007684734584581519,2
806,"[1, 1]",r,0,0.005555434986475397,2
807,"[2, 1]",d,0,0.03331736627602778,1
808,"[2, 2]",r,0,0.1560764815278529,2
809,"[3, 2]",r,1,0.5101097269957948,2
810,"[0, 0]",d,0,9.489572023717938e-05,1
811,"[0, 1]",r,0,0.0008107876387518489,2
812,"[1, 1]",r,0,0.005799736933094893,2
813,"[2, 1]",d,0,0.034388880947018176,1
814,"[2, 2]",r,0,0.15910670425553652,2
815,"[3, 2]",r,1,0.5150086297258368,2
816,"[0, 0]",d,0,0.00010124385178357422,1
817,"[0, 1]",r,0,0.0008548773947621845,2
818,"[1, 1]",r,0,0.006051239492287108,2
819,"[2, 1]",d,0,0.035476952475847826,1
820,"[2, 2]",r,0,0.1621507148805137,2
821,"[3, 2]",r,1,0.5198585434285785,2
822,"[0, 0]",d,0,0.00010792530981859814,1
